City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
316,Namibe,-15.1961,12.1522,73.72,71,9,13.0,AO,clear sky
317,Asfi,32.2994,-9.2372,65.79,72,0,16.17,MA,clear sky
318,Bystryy Istok,52.371,84.3873,63.37,35,100,7.16,RU,overcast clouds
319,Khasan,42.4308,130.6434,40.06,66,82,5.12,RU,broken clouds
320,Neiafu,-18.65,-173.9833,77.68,94,20,0.0,TO,few clouds
321,Kamnik,46.2259,14.6121,51.4,92,75,4.61,SI,light intensity shower rain
322,Flinders,-34.5833,150.8552,55.18,91,12,4.0,AU,few clouds
323,Mahebourg,-20.4081,57.7,75.49,94,75,3.44,MU,broken clouds
324,Talon,11.56,122.6811,78.22,86,100,3.91,PH,overcast clouds
325,Sosnovo-Ozerskoye,52.5249,111.5418,47.89,60,100,6.53,RU,overcast clouds
326,Bang Saphan,11.2126,99.5117,76.42,93,94,3.85,TH,overcast clouds
327,Carnot,4.9409,15.8665,73.83,74,40,0.67,CF,scattered clouds
328,Sarai,53.7458,41.0213,42.73,55,99,5.84,RU,overcast clouds
329,Hearst,49.6835,-83.6665,57.45,59,100,8.7,CA,overcast clouds
330,Saint George,37.1041,-113.5841,80.8,15,4,8.99,US,clear sky
331,Buin,-33.7333,-70.75,71.87,35,0,5.26,CL,clear sky
332,Uspenka,48.3903,39.1619,46.78,62,14,5.48,UA,few clouds
333,Bembereke,10.2283,2.6634,86.83,34,29,1.32,BJ,scattered clouds
334,Chepareria,1.3077,35.2039,61.21,88,78,5.14,KE,light rain
335,Kaeo,-35.1,173.7833,56.32,96,100,6.42,NZ,overcast clouds
336,Vao,-22.6667,167.4833,75.83,85,97,21.83,NC,overcast clouds
337,Nelson Bay,-32.7167,152.15,57.99,97,25,3.56,AU,scattered clouds
338,Lorengau,-2.0226,147.2712,81.55,78,76,5.75,PG,broken clouds
339,Parrita,9.5201,-84.3225,84.96,73,86,6.38,CR,overcast clouds
340,Scarborough,54.2797,-0.4044,54.91,82,100,3.91,GB,overcast clouds
341,Kavieng,-2.5744,150.7967,81.88,76,14,8.08,PG,few clouds
